x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-119.37777777777778,49.95611111111111,KELOWNA A,1123970,1123970.1968.10.1,1968-10-01 00:00:00,BC,1968,10,1,9.5,,3.3,,15.6,,0,,0,,0,,,,,,,,0,,8.5,,,,,
-119.37777777777778,49.95611111111111,KELOWNA A,1123970,1123970.1968.10.2,1968-10-02 00:00:00,BC,1968,10,2,5,,-4.4,,14.4,,0,,0,,0,,,,,,,,0,,13,,,,,
-119.37777777777778,49.95611111111111,KELOWNA A,1123970,1123970.1968.10.3,1968-10-03 00:00:00,BC,1968,10,3,5.9,,-3.3,,15,,0,,0,,0,,,,,,,,0,,12.1,,,,,
-119.37777777777778,49.95611111111111,KELOWNA A,1123970,1123970.1968.10.4,1968-10-04 00:00:00,BC,1968,10,4,10.3,,3.9,,16.7,,0,T,0,T,0,,,,,,,,0,,7.7,,,,,
-119.37777777777778,49.95611111111111,KELOWNA A,1123970,1123970.1968.10.5,1968-10-05 00:00:00,BC,1968,10,5,7.3,,-1.1,,15.6,,0.8,,0.8,,0,,,,,,,,0,,10.7,,,,,
-119.37777777777778,49.95611111111111,KELOWNA A,1123970,1123970.1968.10.6,1968-10-06 00:00:00,BC,1968,10,6,7.8,,4.4,,11.1,,1.5,,1.5,,0,,,,,,,,0,,10.2,,,,,
-119.37777777777778,49.95611111111111,KELOWNA A,1123970,1123970.1968.10.7,1968-10-07 00:00:00,BC,1968,10,7,8.3,,3.3,,13.3,,0,,0,,0,,,,,,,,0,,9.7,,,,,
-119.37777777777778,49.95611111111111,KELOWNA A,1123970,1123970.1968.10.8,1968-10-08 00:00:00,BC,1968,10,8,6.4,,-1.1,,13.9,,0,,0,,0,,,,,,,,0,,11.6,,,,,
-119.37777777777778,49.95611111111111,KELOWNA A,1123970,1123970.1968.10.9,1968-10-09 00:00:00,BC,1968,10,9,5.6,,-0.6,,11.7,,0,T,0,T,0,,,,,,,,0,,12.4,,,,,
-119.37777777777778,49.95611111111111,KELOWNA A,1123970,1123970.1968.10.10,1968-10-10 00:00:00,BC,1968,10,10,8.1,,2.2,,13.9,,0,T,0,T,0,,,,,,,,0,,9.9,,,,,
